path,year,hatchery,length,mass,date,flow
0,2012,1,178,73,120,943
0,2012,1,197,79,120,943
1,2012,1,207,101,120,943
1,2012,1,213,112,120,943
0,2012,1,187,89,121,833
0,2012,1,183,64,116,1317
0,2012,1,210,97,116,1317
1,2009,1,177,57,130,691
0,2012,1,217,116,121,833
0,2009,1,186,64,130,691
1,2012,1,189,78,118,937
0,2012,1,202,89,118,937
0,2009,1,181,62,129,643
0,2009,1,180,60,123,782
1,2011,1,175,51,120,1495
0,2011,1,174,59,120,1495
0,2012,1,197,78,122,748
0,2012,1,186,66,116,1317
1,2009,1,173,53,128,640
0,2012,1,195,76,118,937
0,2012,1,205,89,118,937
0,2012,1,217,104,118,937
0,2012,1,200,86,119,1014
0,2011,1,190,72,118,1226
0,2011,1,200,82,118,1226
0,2009,1,175,58,120,833
0,2012,1,204,88,120,943
0,2012,1,222,109,117,1065
1,2012,1,204,82,119,1014
0,2006,1,214,84,135,731
0,2009,1,182,66,126,555
0,2009,1,179,62,122,793
0,2009,1,184,69,122,793
0,2009,1,183,63,127,541
0,2012,1,198,78,118,937
0,2011,1,199,81,118,1226
0,2012,1,201,81,119,1014
0,2012,1,207,94,119,1014
0,2012,1,219,123,119,1014
0,2009,1,183,67,130,691
0,2009,1,184,67,126,555
1,2006,1,187,75,107,762
0,2012,1,220,113,119,1014
0,2009,1,182,60,124,725
0,2009,1,183,65,124,725
0,2009,1,174,54,122,793
0,2009,1,177,56,122,793
0,2012,1,191,72,120,943
0,2012,1,198,98,120,943
0,2009,1,178,62,123,782
0,2009,1,189,70,123,782
1,2012,1,207,86,118,937
0,2009,1,186,69,127,541
0,2012,1,207,98,119,1014
0,2006,1,200,95,107,762
0,2009,1,186,69,119,920
1,2009,1,198,76,119,920
0,2012,1,197,72,119,1014
0,2010,1,185,62,120,351
0,2012,1,185,67,117,1065
1,2012,1,186,67,117,1065
0,2006,1,192,80,117,416
0,2012,1,212,107,117,1065
0,2012,1,196,85,119,1014
0,2009,1,176,55,122,793
0,2012,1,214,102,125,510
0,2012,1,195,74,119,1014
0,2010,1,171,51,114,408
0,2011,1,179,61,118,1226
0,2009,1,174,55,127,541
0,2009,1,184,71,135,450
0,2012,1,196,77,118,937
1,2006,1,204,99,106,626
0,2006,1,169,53,130,430
0,2006,1,204,94,130,430
0,2006,1,211,99,130,430
0,2006,1,230,122,130,430
0,2009,1,174,55,122,793
0,2012,1,205,117,121,833
1,2010,1,190,75,115,394
0,2009,1,181,64,126,555
0,2009,1,173,58,119,920
0,2009,1,181,64,119,920
0,2011,1,185,70,117,1102
0,2009,1,166,53,129,643
0,2009,1,176,58,119,920
0,2009,1,174,60,119,920
1,2009,1,178,61,119,920
1,2009,1,185,67,119,920
0,2010,1,160,47,113,430
0,2012,1,185,63,118,937
0,2009,1,176,58,122,793
0,2006,1,190,70,123,504
0,2006,1,199,88,123,504
0,2011,1,194,75,118,1226
0,2005,1,189,80,123,1832
0,2009,1,173,54,124,725
0,2009,1,188,70,124,725
0,2009,1,185,67,127,541
0,2012,1,191,73,127,476
0,2012,1,190,77,127,476
0,2012,1,192,83,127,476
0,2012,1,198,86,124,589
0,2012,1,211,96,124,589
0,2012,1,213,105,124,589
0,2012,1,213,111,124,589
0,2009,1,201,89,129,643
0,2006,1,195,84,124,552
0,2009,1,181,71,129,643
0,2009,1,186,66,127,541
0,2010,1,195,77,122,328
0,2009,1,175,56,119,920
0,2009,1,184,69,119,920
0,2009,1,174,55,122,793
1,2009,1,193,69,122,793
0,2012,1,176,61,120,943
0,2009,1,176,59,119,920
0,2011,1,200,83,119,1337
0,2009,1,179,62,119,920
0,2011,1,189,70,120,1495
0,2011,1,200,78,120,1495
0,2011,1,207,97,120,1495
0,2012,1,217,106,124,589
0,2006,1,171,56,106,626
1,2009,1,184,66,119,920
0,2012,1,192,69,122,748
0,2009,1,187,71,127,541
0,2010,1,190,81,114,408
0,2010,1,177,60,114,408
0,2012,1,190,72,117,1065
0,2010,1,167,54,113,430
0,2010,1,201,97,127,286
0,2012,1,212,106,121,833
0,2010,1,183,61,114,408
0,2006,1,194,79,124,552
0,2005,1,217,115,123,1832
1,2010,1,197,81,114,408
0,2010,1,212,101,114,408
0,2011,1,180,61,119,1337
0,2009,1,187,59,120,833
0,2010,1,188,70,119,351
1,2010,1,201,83,119,351
0,2012,1,197,81,119,1014
0,2012,1,192,72,124,589
0,2012,1,197,79,124,589
0,2011,1,200,81,120,1495
0,2012,1,200,86,117,1065
0,2009,1,183,68,122,793
0,2011,1,208,88,119,1337
0,2010,1,175,57,119,351
1,2009,1,192,100,119,920
0,2009,1,177,58,124,725
0,2010,1,174,62,113,430
0,2009,1,171,54,126,555
0,2009,1,171,53,119,920
0,2010,1,188,70,115,394
0,2012,1,201,83,115,1056
1,2009,1,190,74,119,920
0,2009,1,176,54,120,833
0,2009,1,185,66,119,920
0,2011,1,174,56,118,1226
0,2009,1,184,61,122,793
0,2009,1,187,67,123,782
1,2009,1,173,54,123,782
0,2009,1,175,55,124,725
0,2010,1,194,77,120,351
0,2010,1,197,82,117,365
0,2012,1,207,97,127,476
0,2012,1,214,102,127,476
0,2010,1,170,50,122,328
0,2010,1,194,76,122,328
0,2012,1,212,102,119,1014
0,2009,1,198,82,119,920
1,2012,1,182,65,122,748
0,2006,1,209,109,123,504
0,2009,1,193,75,124,725
1,2010,1,204,84,113,430
0,2006,1,209,110,108,765
0,2010,1,178,56,115,394
0,2006,1,209,103,108,765
1,2010,1,206,104,113,430
1,2011,1,183,62,118,1226
0,2009,1,185,66,119,920
0,2010,1,180,63,120,351
0,2010,1,188,66,114,408
0,2010,1,187,70,118,345
0,2009,1,192,75,119,920
0,2009,1,177,62,121,776
0,2006,1,186,74,109,725
0,2006,1,173,59,129,388
0,2006,1,188,80,123,504
1,2010,1,166,49,113,430
0,2005,1,189,71,109,773
0,2009,1,164,52,119,920
0,2009,1,179,54,120,833
0,2010,1,170,58,113,430
0,2009,1,175,59,119,920
0,2010,1,184,64,113,430
0,2010,1,185,67,114,408
0,2010,1,186,69,114,408
0,2010,1,188,69,113,430
0,2006,1,208,103,125,498
0,2006,1,192,74,108,765
0,2009,1,186,73,119,920
0,2009,1,197,79,123,782
0,2006,1,205,87,107,762
