ID,stage,fl,mass,nka,osmolality,pref,max,n.switch
9138A,Smolt,183,59.3,6.876,309,0.576281655342804,401,109
91397,Presmolt,184,66.7,3.121,380,0.437246963562753,43,100
9139D,Smolt,185,72.3,6.206,325,0.229512893982808,78,73
9139E,Postsmolt,196,70.5,5.238,357,0.536312849162011,83,93
913A3,Presmolt,187,62.8,3.554,427,0.283479960899316,41,83
913A7,Smolt,175,54.8,5.904,310,0.426097342490296,431,82
913C4,Smolt,193,73,6.757,308,0.4,42,128
913D4,Presmolt,197,79.4,2.153,417,0.380980683506686,43,96
913FB,Presmolt,179,54.3,4.414,348,0.236468097973995,68,67
913FC,Postsmolt,188,58.6,3.889,362,0.461388346807917,207,96
9140F,Smolt,200,76.8,5.597,367,0.420461445051609,191,110
91410,Smolt,192,71.8,4.252,356,0.311124156149105,160,75
9141A,Smolt,175,54,4.082,369,0.423239012642986,98,115
9141B,Postsmolt,194,60.8,2.511,401,0.679754942912838,244,130
9141F,Postsmolt,202,72.3,1.409,364,0.286238532110092,156,66
9143C,Smolt,212,99.5,4.354,306,0.359169347762504,92,72
9143F,Smolt,196,72.9,4.813,321,0.324754901960784,260,82
9144B,Presmolt,194,79.7,1.44,365,0.338977832512315,44,93
9145F,Postsmolt,196,63.6,3.228,322,0.711854460093897,273,74
91468,Smolt,209,89,5.558,318,0.574936224489796,551,63
91471,Smolt,185,64.1,3.47,299,0.4233907524932,81,102
91479,Smolt,207,78.1,6.694,339,0.237324373854612,35,87
9147D,Presmolt,186,68.1,4.281,390,0.457929782082324,61,98
91492,Presmolt,171,53.1,4.496,360,0.181143740340031,62,66
914A2,Postsmolt,208,79.4,0.648,352,0.411764705882353,145,75
914AF,Presmolt,205,89.5,3.247,351,0.552700065061809,407,152
914C7,Presmolt,202,84,2.113,416,0.363209025383892,43,116
914E1,Presmolt,208,93.5,2.884,400,0.336599241466498,36,87
914F9,Postsmolt,195,65,2.687,344,0.466595403527525,63,109
91552,Smolt,192,66.6,7.661,330,0.216523341523342,40,74
91554,Presmolt,199,91.3,3.631,357,0.327367205542725,95,80
9155E,Smolt,185,63.5,5.969,332,0.51843895452918,76,139
91573,Postsmolt,192,64.5,0.173,366,0.395244215938303,76,87
9157A,Postsmolt,200,72.2,2.289,319,0.436738836265223,88,119
9157C,Smolt,183,56,6.948,352,0.495139542176231,78,111
9158F,Postsmolt,206,81.4,5.286,355,0.452720395693919,60,125
91597,Smolt,198,78.2,2.399,374,0.387611162220178,52,125
915B1,Presmolt,178,57.7,1.1,428,0.402823670772004,41,101
915B3,Smolt,193,73.7,3.419,304,0.680625348967058,533,49
915BD,Smolt,204,78.1,5.501,439,0.403444034440344,68,134
915BE,Postsmolt,178,50.1,3.603,392,0.551597869507324,146,109
915CB,Smolt,191,73.4,6.264,300,0.369531492398387,48,99
915D8,Presmolt,192,78.5,2.963,380,0.48728813559322,122,134
915D9,Presmolt,185,68.5,3.263,377,0.41124886604173,62,113
915E8,Presmolt,193,76.1,1.702,432,0.384205856255546,201,90
91603,Postsmolt,208,88.4,3.757,302,0.336433611289288,125,80
9160C,Presmolt,173,50.7,5.972,350,0.374629679504444,147,130
9160D,Smolt,199,79.3,5.523,330,0.293329449461113,68,115
91612,Smolt,186,63.5,2.44,329,0.162162162162162,45,65
9162D,Presmolt,176,56.5,2.745,359,0.38412017167382,49,109
91643,Presmolt,176,55.6,4.926,356,0.377255154639175,124,97
91652,Presmolt,172,54.3,3.355,414,0.453927938570585,48,160
9166C,Presmolt,171,52.9,7.779,356,0.230379746835443,29,100
9168B,Presmolt,194,76.2,1.759,324,0.430110745285843,357,70
91693,Postsmolt,197,63.7,5.79,345,0.375344986200552,58,81
91696,Smolt,193,67.7,6.755,309,0.301624815361891,227,43
9169D,Smolt,197,72.9,5.761,303,0.570238095238095,566,61
916A2,Smolt,190,71.2,3.695,310,0.370274914089347,214,62
916A4,Presmolt,186,66.7,2.704,361,0.332927200731039,125,113
916B2,Postsmolt,207,84.9,3.668,413,0.369539895165987,80,92
916C8,Presmolt,199,82.4,3.111,384,0.442607003891051,181,133
916DA,Smolt,195,70.8,6.917,302,0.271672771672772,44,102
916E1,Presmolt,191,72.6,3.374,343,0.264344262295082,405,14
916E3,Smolt,203,79.6,6.074,304,0.361547411285631,305,44
916F3,Smolt,180,52.8,4.966,327,0.32797619047619,193,77
91702,Smolt,169,47.9,5.201,313,0.409322898945219,88,94
91705,Presmolt,188,65,2.753,362,0.308900523560209,115,90
91709,Smolt,186,64.4,7.048,328,0.427978660343806,410,120
9171C,Postsmolt,186,66.6,7.174,438,0.36672278338945,112,85
9172B,Presmolt,197,86.7,3.737,367,0.275466754012447,79,99
91732,Presmolt,182,61.7,2.572,369,0.418181818181818,95,92
91736,Postsmolt,218,97.8,1.288,364,0.404324644549763,137,97
947AE,Presmolt,216,91.3,2.757,382,0.329239960172585,61,65
94902,Postsmolt,183,56.6,5.22,343,0.51435266549502,147,118
94974,Postsmolt,195,59.6,5.908,350,0.338080495356037,113,94
9D4A2,Presmolt,188,59.8,2.166,411,0.43648310387985,73,102
9DEC3,Smolt,176,52.1,4.048,318,0.662464985994398,1438,64
