TagID,FL,Mass,ATP,RelSite,RelDate,Org,Year,SW,RelKM,Dams,RKM_Loc,Rate,MovDate,k,MovDate2,RKM,RKM2,Dis,PhS,Ph2S
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,38.03_RT395,3.34970857618651,0.162433996699878,-2.4938326827676,0.134400367695014,1.59432519727856,2.25072035814175,-0.124640432992126,0.218026664914264,0.0475356266136369
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,31.32_SPP,2.914223669924,0.308540923148147,-2.4938326827676,0.27974011421992,1.12711069342523,1.2148239078636,0.972558047573412,0.366882106784066,0.134602480278315
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,27.8_BART,0.400518347608962,0.308540923148147,-2.4938326827676,0.27974011421992,0.882014560256266,0.751564286202456,0.972558047573412,0.366882106784066,0.134602480278315
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,24.07_BHR,3.95522827687775,0.308540923148147,-2.4938326827676,0.27974011421992,0.62229621459711,0.320866698731807,0.972558047573412,0.366882106784066,0.134602480278315
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,19.32_PKPT,2.24174095437861,0.308540923148147,-2.4938326827676,0.27974011421992,0.291555693985584,-0.137940917967549,0.972558047573412,0.366882106784066,0.134602480278315
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,10_HARR,1.09304143862392,0.308540923148147,-2.4938326827676,0.27974011421992,-0.357392022245873,-0.746254113962484,0.972558047573412,0.366882106784066,0.134602480278315
1302-2006,0.877223283380797,-0.105357596945188,0.126157582541569,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,6_FK,0.542127851818387,0.454647849596417,-2.4938326827676,0.426185105965548,-0.635910355392422,-0.888725396303837,5.23523720195446,0.513565623186651,0.263749649319093
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,38.03_RT395,2.81673376509714,0.162433996699878,-2.10945958116306,0.134400367695014,1.59432519727856,2.25072035814175,-0.124640432992126,0.218026664914264,0.0475356266136369
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,31.32_SPP,2.82724719101124,0.308540923148147,-2.10945958116306,0.27974011421992,1.12711069342523,1.2148239078636,0.972558047573412,0.366882106784066,0.134602480278315
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,27.8_BART,0.398678621991505,0.308540923148147,-2.10945958116306,0.27974011421992,0.882014560256266,0.751564286202456,0.972558047573412,0.366882106784066,0.134602480278315
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,24.07_BHR,4.01555023923445,0.308540923148147,-2.10945958116306,0.27974011421992,0.62229621459711,0.320866698731807,0.972558047573412,0.366882106784066,0.134602480278315
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,19.32_PKPT,2.21158820486291,0.308540923148147,-2.10945958116306,0.27974011421992,0.291555693985584,-0.137940917967549,0.972558047573412,0.366882106784066,0.134602480278315
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,10_HARR,0.962395663023835,0.308540923148147,-2.10945958116306,0.27974011421992,-0.357392022245873,-0.746254113962484,0.972558047573412,0.366882106784066,0.134602480278315
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,6_FK,4.02347024308465,0.454647849596417,-2.10945958116306,0.426185105965548,-0.635910355392422,-0.888725396303837,5.23523720195446,0.513565623186651,0.263749649319093
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,-0.32_SPT,3.93565127140634,0.454647849596417,-2.10945958116306,0.426185105965548,-1.07596932176397,-0.968637538569102,5.23523720195446,0.513565623186651,0.263749649319093
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,-4_FPT,2.38487848784879,0.454647849596417,-2.10945958116306,0.426185105965548,-1.33220618825879,-0.93324767203551,5.23523720195446,0.513565623186651,0.263749649319093
1307-2006,-0.588745217348383,-1.11857376420346,-0.677843908011357,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,-6_BAY,0.0478024166777321,0.600754776044686,-2.10945958116306,0.573735342931898,-1.47146535483207,-0.888725396303837,8.63132773703827,0.658003651972295,0.432968806008877
1314-2006,-0.405499154757235,-0.651699647917784,0.0765278609024993,Weldon,128,Wild,2006,1,0.368154157604369,-0.225558232401202,38.03_RT395,6.29577464788732,0.454647849596417,-0.767651209952598,0.426185105965548,1.59432519727856,2.25072035814175,5.23523720195446,0.513565623186651,0.263749649319093
