date,site,Length (mm),Weight (gm),Sex,Stage,Count
4/12/2009,Hayden Creek,413,,Male,Ripe,1
4/16/2009,Cripple Creek,413,,Male,Ripe,1
4/18/2009,Shadow Brook,413,,Male,Ripe,1
4/15/2013,Shadow Brook,413,,Male,Ripe,1
4/18/2013,Shadow Brook,413,,Male,Ripe,1
4/14/2017,Cripple Creek,413,,Male,Ripe,1
4/14/2017,Shadow Brook,413,,Male,Ripe,1
4/12/2009,Shadow Brook,414,,Male,Ripe,1
4/16/2013,Hayden Creek,414,,Female,Spent,1
4/17/2013,Shadow Brook,414,,Male,Ripe,1
4/17/2017,Shadow Brook,414,,Male,Ripe,1
4/18/2009,Shadow Brook,415,,Male,Ripe,1
4/16/2013,Hayden Creek,415,,Male,Ripe,1
4/17/2013,Shadow Brook,415,,Male,Ripe,1
4/18/2013,Shadow Brook,415,,Male,Ripe,1
4/21/2013,Shadow Brook,415,,Male,Ripe,1
4/5/2009,Shadow Brook,416,,Male,Ripe,1
4/16/2013,Shadow Brook,416,,Male,Ripe,1
4/17/2013,Hayden Creek,416,,Male,Ripe,1
4/17/2017,Cripple Creek,416,,Male,Ripe,1
4/7/2009,Hayden Creek,417,680,Male,Ripe,1
4/10/2009,Hayden Creek,417,,Male,Ripe,1
4/16/2013,Hayden Creek,417,,Male,Ripe,1
4/17/2013,Shadow Brook,417,,Male,Spent,1
4/10/2017,Shadow Brook,417,,Male,Ripe,1
4/13/2017,Hayden Creek,417,,Male,Ripe,1
4/7/2009,Hayden Creek,418,737,Male,Ripe,1
4/17/2009,Shadow Brook,418,,Male,Ripe,1
4/16/2013,Hayden Creek,418,,Male,Ripe,1
4/18/2009,Shadow Brook,419,,Male,Ripe,1
4/17/2009,Cripple Creek,420,,Male,Ripe,1
4/15/2013,Hayden Creek,420,,Male,Ripe,1
4/18/2013,Shadow Brook,420,,Male,Ripe,1
4/18/2013,Shadow Brook,420,,Male,Ripe,1
4/26/2018,Shadow Brook,420,1292,Male,Ripe,1
4/16/2013,Shadow Brook,421,,Male,Ripe,1
4/21/2013,Shadow Brook,421,,Male,Ripe,1
4/18/2009,Leatherstocking Creek,422,,Male,Ripe,1
4/17/2013,Shadow Brook,422,,Male,Ripe,1
4/17/2013,Shadow Brook,422,,Male,Ripe,1
4/17/2013,Shadow Brook,422,,Male,Ripe,1
4/12/2017,Hayden Creek,422,,Male,Ripe,1
4/13/2017,Hayden Creek,422,,Male,Ripe,1
4/14/2009,Hayden Creek,423,,Male,Ripe,1
4/18/2017,Shadow Brook,423,,Male,Ripe,1
4/18/2009,Shadow Brook,424,,Male,Spent,1
4/15/2013,Shadow Brook,424,,Male,Ripe,1
4/18/2013,Shadow Brook,424,,Male,Ripe,1
4/13/2017,Hayden Creek,424,,Male,Ripe,1
4/10/2009,Hayden Creek,425,,Male,Ripe,1
4/10/2009,Hayden Creek,425,,Male,Ripe,1
4/17/2013,Shadow Brook,425,,Male,Ripe,1
4/15/2013,Shadow Brook,426,,Male,Ripe,1
4/16/2013,Shadow Brook,426,,Male,Ripe,1
4/18/2013,Shadow Brook,426,,Male,Ripe,1
4/21/2013,Shadow Brook,426,,Male,Ripe,1
4/12/2017,Hayden Creek,426,,Male,Ripe,1
4/14/2009,Hayden Creek,427,,Male,Ripe,1
4/15/2013,Shadow Brook,427,,Male,Ripe,1
4/13/2017,Cripple Creek,427,,Male,Ripe,1
4/7/2009,Shadow Brook,428,822,Male,Ripe,1
4/18/2013,Shadow Brook,428,,Male,Ripe,1
4/18/2013,Shadow Brook,428,,Male,Ripe,1
4/18/2013,Shadow Brook,428,,Male,Ripe,1
4/10/2017,Hayden Creek,428,,Male,Ripe,1
4/10/2017,Shadow Brook,428,,Male,Ripe,1
4/17/2017,Cripple Creek,428,,Male,Ripe,1
4/16/2009,Cripple Creek,429,,Male,Ripe,1
4/16/2009,Cripple Creek,429,,Male,Ripe,1
4/18/2009,Shadow Brook,429,,Male,Ripe,1
4/15/2013,Shadow Brook,429,,Male,Ripe,1
4/18/2013,Shadow Brook,429,,Male,Ripe,1
4/10/2017,Shadow Brook,429,,Male,Ripe,1
4/12/2017,Hayden Creek,429,,Male,Ripe,1
4/5/2009,Shadow Brook,430,,Male,Ripe,1
4/7/2009,Hayden Creek,430,850,Male,Ripe,1
4/18/2013,Shadow Brook,430,,Male,Ripe,1
4/12/2017,Shadow Brook,430,,Male,Ripe,1
4/12/2009,Hayden Creek,431,,Male,Hard,1
4/18/2013,Shadow Brook,431,,Male,Ripe,1
4/18/2013,Shadow Brook,431,,Male,Ripe,1
4/21/2013,Shadow Brook,431,,Male,Ripe,1
4/11/2017,Shadow Brook,431,,Male,Ripe,1
4/12/2017,Hayden Creek,431,,Male,Ripe,1
4/14/2017,Hayden Creek,431,,Male,Ripe,1
4/10/2009,Hayden Creek,432,,Male,Ripe,1
4/16/2009,Cripple Creek,432,,Male,Spent,1
4/17/2009,Shadow Brook,432,,Male,Ripe,1
4/15/2013,Shadow Brook,432,,Male,Ripe,1
4/16/2013,Hayden Creek,432,,Male,Ripe,1
